Block size (16x16) , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/ivb.asm: 93
Now, clear all GRF registers , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/ivb.asm: 109
Terminante the thread , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/ivb.asm: 115
inform SPI the readiness and wait for SPI's go signal , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 290
setup Resource Contants , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 323
global mem offset , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 338
save first 4 VGPRs, needed for SGPR save , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 348
save HW registers , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 380
save SGPRs , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 426
save LDS , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 490
save VGPRs  - set the Rest VGPRs , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 574
Setup Resource Contants , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 671
restore LDS , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 689
restore VGPRs , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 739
VGPR restore on v0 , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 784
VGPR restore on v0 , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 836
restore SGPRs , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 844
restore HW registers , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 902
sgpr_idx < 16, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 1008
sgpr_idx < 12, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx10.asm: 1025
variables                                         , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 28
Save        , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx8.asm: 68
